Ensembl_Gene_ID	Group
ENSDARG00000036214	Top_Maternal_Decay
ENSDARG00000036214	Top_Maternal_Decay
ENSDARG00000036214	Top_Maternal_Decay
ENSDARG00000036214	Top_Maternal_Decay
ENSDARG00000036214	Top_Maternal_Decay
ENSDARG00000036645	Top_Maternal_Decay
ENSDARG00000036645	Top_Maternal_Decay
ENSDARG00000036868	Top_Maternal_Decay
ENSDARG00000037307	Top_Maternal_Decay
ENSDARG00000037307	Top_Maternal_Decay
ENSDARG00000037307	Top_Maternal_Decay
ENSDARG00000037640	Top_Maternal_Decay
ENSDARG00000037967	Top_Maternal_Decay
ENSDARG00000038066	Top_Maternal_Decay
ENSDARG00000038066	Top_Maternal_Decay
ENSDARG00000038066	Top_Maternal_Decay
ENSDARG00000038074	Top_Maternal_Decay
ENSDARG00000038074	Top_Maternal_Decay
ENSDARG00000038271	Top_Maternal_Decay
ENSDARG00000038802	Top_Maternal_Decay
ENSDARG00000038802	Top_Maternal_Decay
ENSDARG00000039008	Top_Maternal_Decay
ENSDARG00000039008	Top_Maternal_Decay
ENSDARG00000039268	Top_Maternal_Decay
ENSDARG00000039650	Top_Maternal_Decay
ENSDARG00000039650	Top_Maternal_Decay
ENSDARG00000040161	Top_Maternal_Decay
ENSDARG00000040440	Top_Maternal_Decay
ENSDARG00000040538	Top_Maternal_Decay
ENSDARG00000040538	Top_Maternal_Decay
ENSDARG00000040779	Top_Maternal_Decay
ENSDARG00000040803	Top_Maternal_Decay
ENSDARG00000041215	Top_Maternal_Decay
ENSDARG00000041243	Top_Maternal_Decay
ENSDARG00000041243	Top_Maternal_Decay
ENSDARG00000041243	Top_Maternal_Decay
ENSDARG00000041600	Top_Maternal_Decay
ENSDARG00000041974	Top_Maternal_Decay
ENSDARG00000041974	Top_Maternal_Decay
ENSDARG00000042214	Top_Maternal_Decay
ENSDARG00000042214	Top_Maternal_Decay
ENSDARG00000042214	Top_Maternal_Decay
ENSDARG00000042214	Top_Maternal_Decay
ENSDARG00000042215	Top_Maternal_Decay
ENSDARG00000042215	Top_Maternal_Decay
ENSDARG00000042215	Top_Maternal_Decay
ENSDARG00000042522	Top_Maternal_Decay
ENSDARG00000042522	Top_Maternal_Decay
ENSDARG00000042522	Top_Maternal_Decay
ENSDARG00000042522	Top_Maternal_Decay
ENSDARG00000042522	Top_Maternal_Decay
ENSDARG00000042527	Top_Maternal_Decay
ENSDARG00000042527	Top_Maternal_Decay
ENSDARG00000042527	Top_Maternal_Decay
ENSDARG00000043004	Top_Maternal_Decay
ENSDARG00000043004	Top_Maternal_Decay
ENSDARG00000043004	Top_Maternal_Decay
ENSDARG00000043004	Top_Maternal_Decay
ENSDARG00000043004	Top_Maternal_Decay
ENSDARG00000043105	Top_Maternal_Decay
ENSDARG00000043713	Top_Maternal_Decay
ENSDARG00000043720	Top_Maternal_Decay
ENSDARG00000043963	Top_Maternal_Decay
ENSDARG00000043963	Top_Maternal_Decay
ENSDARG00000044038	Top_Maternal_Decay
ENSDARG00000044636	Top_Maternal_Decay
ENSDARG00000044636	Top_Maternal_Decay
ENSDARG00000044638	Top_Maternal_Decay
ENSDARG00000044949	Top_Maternal_Decay
ENSDARG00000044949	Top_Maternal_Decay
ENSDARG00000044949	Top_Maternal_Decay
ENSDARG00000044956	Top_Maternal_Decay
ENSDARG00000044956	Top_Maternal_Decay
ENSDARG00000045355	Top_Maternal_Decay
ENSDARG00000045355	Top_Maternal_Decay
ENSDARG00000045355	Top_Maternal_Decay
ENSDARG00000045681	Top_Maternal_Decay
ENSDARG00000045681	Top_Maternal_Decay
ENSDARG00000045681	Top_Maternal_Decay
ENSDARG00000045681	Top_Maternal_Decay
ENSDARG00000045789	Top_Maternal_Decay
ENSDARG00000045789	Top_Maternal_Decay
ENSDARG00000046006	Top_Maternal_Decay
ENSDARG00000046006	Top_Maternal_Decay
ENSDARG00000046124	Top_Maternal_Decay
ENSDARG00000046124	Top_Maternal_Decay
ENSDARG00000052103	Top_Maternal_Decay
ENSDARG00000052104	Top_Maternal_Decay
ENSDARG00000052104	Top_Maternal_Decay
ENSDARG00000052247	Top_Maternal_Decay
ENSDARG00000052717	Top_Maternal_Decay
ENSDARG00000052717	Top_Maternal_Decay
ENSDARG00000052717	Top_Maternal_Decay
ENSDARG00000052819	Top_Maternal_Decay
ENSDARG00000052819	Top_Maternal_Decay
ENSDARG00000052819	Top_Maternal_Decay
ENSDARG00000052819	Top_Maternal_Decay
ENSDARG00000053474	Top_Maternal_Decay
ENSDARG00000053474	Top_Maternal_Decay
ENSDARG00000053474	Top_Maternal_Decay
ENSDARG00000053474	Top_Maternal_Decay
ENSDARG00000053554	Top_Maternal_Decay
ENSDARG00000053574	Top_Maternal_Decay
ENSDARG00000053574	Top_Maternal_Decay
ENSDARG00000053574	Top_Maternal_Decay
ENSDARG00000053685	Top_Maternal_Decay
ENSDARG00000054312	Top_Maternal_Decay
ENSDARG00000054578	Top_Maternal_Decay
ENSDARG00000054578	Top_Maternal_Decay
ENSDARG00000054578	Top_Maternal_Decay
ENSDARG00000054937	Top_Maternal_Decay
ENSDARG00000054937	Top_Maternal_Decay
ENSDARG00000054978	Top_Maternal_Decay
ENSDARG00000054978	Top_Maternal_Decay
ENSDARG00000054978	Top_Maternal_Decay
ENSDARG00000054978	Top_Maternal_Decay
ENSDARG00000054978	Top_Maternal_Decay
ENSDARG00000054978	Top_Maternal_Decay
ENSDARG00000054978	Top_Maternal_Decay
ENSDARG00000055524	Top_Maternal_Decay
ENSDARG00000055563	Top_Maternal_Decay
ENSDARG00000055563	Top_Maternal_Decay
ENSDARG00000055622	Top_Maternal_Decay
ENSDARG00000055622	Top_Maternal_Decay
ENSDARG00000055655	Top_Maternal_Decay
ENSDARG00000055655	Top_Maternal_Decay
ENSDARG00000055655	Top_Maternal_Decay
ENSDARG00000055973	Top_Maternal_Decay
ENSDARG00000055989	Top_Maternal_Decay
ENSDARG00000056515	Top_Maternal_Decay
ENSDARG00000057042	Top_Maternal_Decay
ENSDARG00000057042	Top_Maternal_Decay
ENSDARG00000057075	Top_Maternal_Decay
ENSDARG00000057075	Top_Maternal_Decay
ENSDARG00000057075	Top_Maternal_Decay
ENSDARG00000057075	Top_Maternal_Decay
ENSDARG00000057075	Top_Maternal_Decay
ENSDARG00000057328	Top_Maternal_Decay
ENSDARG00000057423	Top_Maternal_Decay
ENSDARG00000057423	Top_Maternal_Decay
ENSDARG00000057432	Top_Maternal_Decay
ENSDARG00000057716	Top_Maternal_Decay
ENSDARG00000057716	Top_Maternal_Decay
ENSDARG00000057805	Top_Maternal_Decay
ENSDARG00000057986	Top_Maternal_Decay
ENSDARG00000057986	Top_Maternal_Decay
ENSDARG00000057986	Top_Maternal_Decay
ENSDARG00000057986	Top_Maternal_Decay
ENSDARG00000057986	Top_Maternal_Decay
ENSDARG00000057986	Top_Maternal_Decay
ENSDARG00000058041	Top_Maternal_Decay
ENSDARG00000058068	Top_Maternal_Decay
ENSDARG00000058346	Top_Maternal_Decay
ENSDARG00000058471	Top_Maternal_Decay
ENSDARG00000058471	Top_Maternal_Decay
ENSDARG00000058471	Top_Maternal_Decay
ENSDARG00000058471	Top_Maternal_Decay
ENSDARG00000058893	Top_Maternal_Decay
ENSDARG00000058893	Top_Maternal_Decay
ENSDARG00000058893	Top_Maternal_Decay
ENSDARG00000058946	Top_Maternal_Decay
ENSDARG00000059270	Top_Maternal_Decay
ENSDARG00000059951	Top_Maternal_Decay
ENSDARG00000059983	Top_Maternal_Decay
ENSDARG00000059983	Top_Maternal_Decay
ENSDARG00000060112	Top_Maternal_Decay
ENSDARG00000060112	Top_Maternal_Decay
ENSDARG00000060112	Top_Maternal_Decay
ENSDARG00000060112	Top_Maternal_Decay
ENSDARG00000060199	Top_Maternal_Decay
ENSDARG00000060199	Top_Maternal_Decay
ENSDARG00000060298	Top_Maternal_Decay
ENSDARG00000060298	Top_Maternal_Decay
ENSDARG00000060298	Top_Maternal_Decay
ENSDARG00000060380	Top_Maternal_Decay
ENSDARG00000060380	Top_Maternal_Decay
ENSDARG00000061185	Top_Maternal_Decay
ENSDARG00000061778	Top_Maternal_Decay
ENSDARG00000061778	Top_Maternal_Decay
ENSDARG00000062025	Top_Maternal_Decay
ENSDARG00000062025	Top_Maternal_Decay
ENSDARG00000062049	Top_Maternal_Decay
ENSDARG00000062049	Top_Maternal_Decay
ENSDARG00000062053	Top_Maternal_Decay
ENSDARG00000062142	Top_Maternal_Decay
ENSDARG00000062385	Top_Maternal_Decay
ENSDARG00000062385	Top_Maternal_Decay
ENSDARG00000062794	Top_Maternal_Decay
ENSDARG00000062794	Top_Maternal_Decay
ENSDARG00000062794	Top_Maternal_Decay
ENSDARG00000062794	Top_Maternal_Decay
ENSDARG00000062794	Top_Maternal_Decay
ENSDARG00000062794	Top_Maternal_Decay
ENSDARG00000062893	Top_Maternal_Decay
ENSDARG00000063021	Top_Maternal_Decay
ENSDARG00000063021	Top_Maternal_Decay
ENSDARG00000063021	Top_Maternal_Decay
ENSDARG00000063285	Top_Maternal_Decay
ENSDARG00000063385	Top_Maternal_Decay
ENSDARG00000063385	Top_Maternal_Decay
ENSDARG00000063385	Top_Maternal_Decay
ENSDARG00000063385	Top_Maternal_Decay
ENSDARG00000063385	Top_Maternal_Decay
ENSDARG00000063385	Top_Maternal_Decay
ENSDARG00000063646	Top_Maternal_Decay
ENSDARG00000067916	Top_Maternal_Decay
ENSDARG00000067916	Top_Maternal_Decay
ENSDARG00000068916	Top_Maternal_Decay
ENSDARG00000069129	Top_Maternal_Decay
ENSDARG00000069129	Top_Maternal_Decay
ENSDARG00000069168	Top_Maternal_Decay
ENSDARG00000069168	Top_Maternal_Decay
ENSDARG00000069279	Top_Maternal_Decay
ENSDARG00000069279	Top_Maternal_Decay
ENSDARG00000069428	Top_Maternal_Decay
ENSDARG00000069428	Top_Maternal_Decay
ENSDARG00000069428	Top_Maternal_Decay
ENSDARG00000069545	Top_Maternal_Decay
ENSDARG00000069545	Top_Maternal_Decay
ENSDARG00000069850	Top_Maternal_Decay
ENSDARG00000069920	Top_Maternal_Decay
ENSDARG00000069920	Top_Maternal_Decay
ENSDARG00000070012	Top_Maternal_Decay
ENSDARG00000070012	Top_Maternal_Decay
ENSDARG00000070012	Top_Maternal_Decay
ENSDARG00000070084	Top_Maternal_Decay
ENSDARG00000070084	Top_Maternal_Decay
ENSDARG00000070122	Top_Maternal_Decay
ENSDARG00000070122	Top_Maternal_Decay
ENSDARG00000070333	Top_Maternal_Decay
ENSDARG00000070404	Top_Maternal_Decay
ENSDARG00000070461	Top_Maternal_Decay
ENSDARG00000070461	Top_Maternal_Decay
ENSDARG00000070477	Top_Maternal_Decay
ENSDARG00000070477	Top_Maternal_Decay
ENSDARG00000070611	Top_Maternal_Decay
ENSDARG00000070656	Top_Maternal_Decay
ENSDARG00000070656	Top_Maternal_Decay
ENSDARG00000070824	Top_Maternal_Decay
